qDQpZT3GhDg	Duke Ellington	It Don't Mean a Thing (If It Ain't Got That Swing)	5	1931	jazz
ZJE-onnw2gM	Glenn Miller	In The Mood	10	1939	big band
u6d8eKvegLI	Rolling Stones	Paint It Black	20	1966	Psychedelic rock, raga rock
YR5ApYxkU-U	Pink Floyd	Another Brick In The Wall	25	1979	Progressive rock
8SbUC-UaAxE	Guns N' Roses	November Rain	20	1992	power ballad
9Q7Vr3yQYWQ	Led Zeppelin	Stairway to Heaven	0	1971	Hard rock, folk rock, progressive rock
v2AC41dglnM	AC/DC	Thunderstruck	0	1990	Hard rock
5iC0YXspJRM	Pixies	Where Is My Mind	15	1988	Alternative rock, indie rock
1lyu1KKwC74	The Verve	Bitter Sweet Symphony	0	1997	Britpop, baroque pop
XFkzRNyygfk	Radiohead	Creep	0	1992	Alternative rock, grunge
IBH97ma9YiI	Radiohead	Karma Police	10	1997	Art rock
SSbBvKaM6sk	Blur	Song 2	0	1996	Alternative rock, grunge, punk rock
CdqoNKCCt7A	Simple Minds	Don't You (Forget About Me)	0	1984	Pop
ejorQVy3m8E	Midnight Oil	Beds Are Burning	58	1987	Pop
FTQbiNvZqaY	Toto	Africa	0	1982	Soft rock
KwIe_sjKeAY	Madness	Our House	40	1982	Pop, new wave
9jK-NcRmVcw	Europe	The Final Countdown	40	1986	Glam metal, hard rock
9_y6nFjoVp4	The Supremes	Baby Love	0	1964	Pop, R&B
hwZNL7QVJjE	Ben E. King	Stand by Me 	0	1960	Soul, R&B
eW2qlKa6oHw	Lenny Kravitz	Again	0	2000	Hard rock, Pop rock
qmVn6b7DdpA	Blind Melon	No Rain	32	1992	Alternative rock
NI6aOFI7hms	The Cardigans	Lovefool	0	1996	Pop Rock
deB_u-to-IE	The Doors	Light My Fire	0	1967	Psychedelic rock, acid rock
awi14wDTxNw	The Doors	People Are Strange	0	1967	Psychedelic rock
wmin5WkOuPw	The Prodigy	Firestarter	0	1996	Breakbeat
r2S1I_ien6A	Louis Prima,Benny Goodman	Sing, Sing, Sing (With a Swing)	0	1936	Jazz, Swing, Big band
cHcunREYzNY	Vera Lynn	We'll Meet Again	0	1939	classic pop, traditional pop
_7QjMZ4ckZc	Tommy Dorsey	Opus No. 1	0	1944	swing, jazz, big band
71IIZWKcepQ	George Michael	Careless Whisper	0	1984	Blue-eyed soul, smooth jazz, sophisti-pop
KkVpefF7fAY	Lalo Schifrin	Enter The Dragon	0	1973	Film score
fjgjU9C8UUc	Lalo Schifrin	Mission Impossible	0	1967	Theme music
6ebAssCr990	Monty Norman, John Barry & Orchestra	James Bond	0	1962	Theme music
sOnqjkJTMaA	Michael Jackson	Thriller	280	1983	Disco, funk
z_KDPUTyDyQ	Herb Alpert's Tijuana Brass	A Taste of Honey	20	1965	Jazz, instrumental, pop
jlfQeN1MHao	The Supremes	Where Did Our Love Go	0	1964	R&B, pop, doo-wop
PTFwQP86BRs	Nine Inch Nails	Closer	0	1994	Industrial rock, alternative rock
iTxOKsyZ0Lw	The Chemical Brothers	Block Rockin' Beats	0	1997	Big beat, Alternative rock
z--Le7oZ50U	Derek and the Dominos	Layla	30	1971	Blues rock, hard rock
n4RjJKxsamQ	Scorpions	Wind Of Change	0	1991	power ballad
PrZZfaDp02o	INXS	Need You Tonight	0	1987	Funk rock
9KciKi_DhWg	Quincy Jones	Soul Bossa Nova	12	1962	Swing, jazz, samba, bossa nova
cT0Jh9lUhrc	New Vaudeville Band	Winchester Cathedral	5	1966	pop
hxsOXOPni0o	Spanish Flea	Herb Alpert & The Tijuana Brass	2	1965	pop
Dg6rGP0OrQE	Al Hirt	Java	5	1963	Jazz
QNVUDBcZxp0	Boots Randolph	Yakety Sax	10	1963	Zydeco
-J05KebsWME	Henry Mancini & His Orchestra	Baby Elephant Walk	0	1962	Film scores, easy listening, jazz
I8BZ42mfKJA	Vincent Youmans, Irving Caesar	Tea for Two 	10	1925	musical
iGZDKuDl3jc	Ennio Morricone	My Name is Nobody	0	1973	Film music, classical
t2XReqnoXBU	Wayne Hill, the Noveltones	Left Bank Two	0	1963	library music
ioE_O7Lm0I4	Bill Conti	Gonna Fly Now	0	1977	Orchestral
QuVYS4uw0as	F. J. Ricketts	Colonel Bogey march	0	1914	march
mUQHGpxrz-8	Khachaturian	Sabre Dance	0	1942	instrumental, orchestal
mmCnQDUSO4I	Dmitri Shostakovich	Waltz No. 2	0	1938	waltz, instrumental
rt7SPm7N6D8	Percy Faith	Theme from A Summer Place	0	1959	Easy Listening
uSQzUx3QW2Y	Francisco Tárrega	Grande Valse	10	1902	Guitar, instrumental
IgncJgSbbck	john williams	the raiders march	0	1981	Soundtrack
AFa1-kciCb4	Ennio Morricone	The Good, the Bad and the Ugly	0	1966	soundtrack
CSav51fVlKU	Vangelis	Chariots of Fire	0	1981	film score, soundtrack
WYeDsa4Tw0c	Vangelis	conquest of paradise	10	1992	Instrumental, Electronic, soundtrack
xJXD35Fj7yM	Randy Newman	You Can Leave Your Hat On	0	1972	rock
6UaExcpfOow	Rob Dougan	Clubbed to Death	20	1995	Downtempo, trip hop, electronica, neo-classical
nGwj-Xclzmo	Average White Band 	Pick Up The Pieces	0	1974	Funk, jazz-funk
NGYEWBTkI64	Us3	Cantaloop (Flip Fantasia)	9	1993	Jazz rap, Acid jazz
vmDDOFXSgAs	Dave Brubeck	Take Five	5	1959	jazz, West Coast cool jazz
qnlo-6qz5MU	Maceo and The Macks	Cross The Track (We Better Go Back)	0	1974	funk, soul
KU1X3Wut-k0	George Gershwin	An American in Paris	5	1928	instrumental, symphonic
WtYvGJaIRn0	Duke Ellington, Billy Strayhorn	Take the A Train	10	1939	jazz
qaC0vNLdLvY	Raymond Scott	Powerhouse	15	1937	jazz
mREi_Bb85Sk	Mason Williams	Classical Gas	40	1968	Easy listening, classical, Baroque pop, instrumental}
